episode;steps;reward;average
202;499;109.90836136047226;-18.475084619468348
203;499;122.83021270168922;-16.830395644324184
204;499;71.61189423577972;-14.97600064603274
205;499;42.84649693163426;-13.702216542764523
206;499;116.35505322417472;-12.298759243751755
207;499;128.03483191330858;-10.557951052119463
208;499;121.90498684414138;-8.979860076247059
209;499;37.330301509748146;-8.165706390675707
210;499;99.25932725107525;-5.648272580539523
211;499;108.05233247823811;-4.007452600499921
212;499;132.33274523514564;-2.368543187711657
213;499;121.64026203718127;-1.0506960530301024
214;499;136.03050900036445;1.0794416508577116
215;499;123.82054582701862;2.9158052661286162
216;499;87.27509983641306;3.545979411794582
217;193;-37.702988137727814;2.901159970610765
218;350;-99.04698686332735;4.044823570460702
219;499;192.45981753196457;6.529401332823795
220;499;147.32189402754557;8.362409518807233
221;499;37.304077119350396;9.2830565380351
222;73;-27.08690683279349;9.351265705189991
223;499;116.82521848806553;10.750801283462756
224;499;128.20493399671437;12.472272215579146
225;499;96.5001717692841;13.645365032633931
226;204;-25.756309707559623;13.322594517914895
227;499;109.3849032723981;15.013303959279888
228;499;36.64415070270668;16.435975455755546
229;499;92.87045960480802;17.85022890892298
230;499;92.93974063681284;18.60249177433933
231;112;24.05753397911178;18.850026174819867
232;499;48.73885479836123;20.46591236281332
233;499;94.09027800647821;22.161941449373945
234;499;118.25344932031234;23.45334467836847
235;499;131.96732206737548;25.1708034758798
236;499;113.83136613717905;26.357406953178387
237;499;114.83278421229767;27.77342885876163
238;303;-4.514565802594134;28.056834649800653
239;499;76.29228179085631;28.427939507709183
240;499;59.088275012556366;29.802358753599368
241;499;150.84121385467324;31.42161047246251
242;499;5.5244049570280485;31.91970239885762
243;108;38.75492261731583;32.495822685575064
244;499;54.08149369634764;33.40920978648082
245;499;84.49484581848951;34.50233278977044
246;499;130.5047551108652;35.01267147442068
247;499;79.78880235543437;35.362097387887395
248;499;46.31454445485252;35.742934542444594
249;499;101.9805927801963;36.436806224691495
250;499;7.9942856371394;35.873663825101936
251;499;87.2402124382427;37.30076433502892
252;499;100.17858399045544;38.18492144843925
253;499;94.80018928057156;38.82981403238059
254;499;134.29611290205958;40.33801268279294
255;429;-269.2745477267363;38.56923305050697
256;499;84.6533005552378;41.56941692287612
257;499;97.26761390144877;43.13615884377246
258;338;-199.13073330800677;42.220039224891565
259;417;205.44748813008312;44.737626275734044
260;226;-67.47698546398374;45.69114121422338
261;351;-292.6369804164773;42.70650408742843
262;499;109.09404293749033;43.29890909721583
263;499;74.15444116394268;44.06261643921516
264;499;153.9232665933647;45.841902042662014
265;310;-30.4239276475123;44.411370635975075
266;499;163.52192246755922;45.72848032455772
267;499;153.7380822964606;46.81873005543482
268;499;115.16506545668022;47.18244881932485
269;499;154.84991318004901;48.44416349789429
270;499;140.09326628126453;50.63731880910163
271;138;-51.78265787170977;49.137616061100445
