episode;steps;reward;average
215;499;110.94583826028914;-28.7185126830576
216;499;36.70526787739166;-27.662737782397972
217;499;106.42674438528297;-25.498697794380806
218;499;122.80187830946699;-24.245714279810333
219;84;-67.94527118397018;-24.602194819942437
220;82;7.453219272651893;-24.581154343467773
221;219;-87.29280597204232;-23.255912031422323
222;499;49.7255184775101;-22.862129437245663
223;499;113.69142311967869;-21.138194370693
224;126;1.6793067024238724;-20.886553481709083
225;182;-180.59767050122855;-22.483127139069346
226;131;-56.75730658197993;-22.107124585644804
227;499;53.052011511510074;-21.252149574634856
228;117;-36.236726005033006;-20.50591795593339
229;499;141.96811614194243;-19.121400403837256
230;499;121.21125191396277;-17.413310871597783
231;168;-20.848083395719044;-17.26069958349593
232;144;-244.78360583580653;-20.112609638395394
233;499;135.39237402231674;-16.90686963160068
234;499;158.70568977756417;-15.445278468529029
235;499;105.70072347464416;-13.849636326251169
236;195;-23.250852437464715;-14.411187082795166
237;235;-114.08905445462948;-15.464238419256581
238;253;-29.045753099207204;-15.330723084490625
239;499;103.18656904305523;-15.022858476750157
240;115;2.8469859652024354;-15.802431423457547
241;499;90.94312253972991;-14.167548429095326
242;499;96.02527986999252;-13.268498648992706
243;499;147.33157416991054;-12.46230362775798
244;165;-16.0956539458533;-13.348914505327654
245;499;86.5918343288913;-13.20692566853263
246;499;100.96549384104466;-12.418394940966675
247;499;50.791482275806246;-11.616524224519141
248;499;82.05249011449713;-10.506563314282314
249;104;21.01981682846197;-10.298168005868732
250;499;119.91433940443461;-8.01950545813559
251;499;149.20706821293956;-5.96335710728225
252;499;85.6214958869404;-4.895274539301561
253;126;-123.58776141701327;-3.513686443416293
254;499;78.39536047817144;-2.7772508715029374
255;499;105.99422075579562;-0.13706370370183507
256;499;46.30428520205325;1.3243612793774326
257;499;125.39318971442046;2.0634559084652464
258;499;61.304999816963175;2.5143553214960166
259;499;152.91385285661218;4.523181321884405
260;499;146.9510303384415;6.411603946985469
261;122;-89.44154736261939;7.846755447507179
262;499;125.58893854055715;9.715983501517776
263;499;58.53884683037586;10.652683940967691
264;499;73.75392241994001;11.516811130991432
265;499;51.80400169229911;12.294294618053943
266;499;87.09007759112403;12.835154025109416
267;499;63.94189403757372;13.931109103834167
268;499;98.13265323149587;15.663053758453074
269;499;106.53990157112696;17.0237173564937
270;499;98.09999960768879;18.00553162182964
271;499;123.36500616183447;20.426700058393237
272;499;118.84328668397923;21.772651755991877
273;499;95.38175042322416;22.910087049488155
274;499;111.70021037748594;24.27700300366701
275;499;98.8614299316381;25.47487159391549
276;434;2.5387309401903053;25.243345687572535
277;155;-176.49705529172695;25.111463493855798
278;499;53.14885774026974;26.353153727616817
279;499;159.2002337321057;28.428422120568463
280;499;140.20314958885282;30.19361560200422
281;499;119.05519530164514;31.68197168166106
282;499;113.51350310683856;32.90434424438978
283;499;52.39025524690649;33.66289722479797
284;499;144.83946442203276;34.88817714035198
285;499;121.31723300406279;37.580938967036495
286;499;72.60913287602291;38.446854952668666
287;499;123.0669087476137;39.64135289568148
288;499;154.95850066099473;41.081075698459074
289;499;80.02469763167548;42.541165401703246
290;499;110.51405750462823;44.27517993164101
291;499;65.84781269969125;45.283018872591356
292;499;118.68593954236214;47.943790732446935
293;499;99.98923928176715;49.12909036926758
294;499;141.64703449438898;49.3430413726299
295;409;241.64564748970477;51.56646072151342
296;499;139.27124191464935;53.101612855117935
297;499;96.87363013901027;54.8951980268616
298;499;138.76723739909988;56.66724546237927
299;499;100.87834309869554;58.237906561935304
300;499;127.31743673080273;59.6054399181285
301;499;129.33880231252803;60.333355850816176
302;499;133.7694911137521;61.82916009428965
303;499;124.081688970103;63.11546879981309
304;499;119.74406705678275;64.42054859858712
305;499;130.28583891319155;65.2862686684708
306;412;268.90431099634793;68.44964931419106
307;499;148.46639468629695;70.11330162331774
308;499;88.09226403699022;72.1761402506682
309;475;217.3853688663266;74.02650685781018
310;499;174.830516035608;75.98277466729913
311;499;133.5398764599045;77.38015511997835
312;499;108.88226686253479;77.96695272166362
313;423;284.45292969177945;80.7432785602895
314;499;143.80366069479192;80.88267586496998
315;499;89.53507560535202;80.66856823842062
316;499;12.948781289249432;80.43100337253918
317;499;81.21025942918818;80.17883852297824
318;499;89.36541330270164;79.84447387291058
319;447;272.374014159233;83.24766672634262
320;499;95.99537582747786;84.13308829189087
321;335;264.02641871203514;87.64628053873166
322;499;56.06762000132533;87.70970155396982
323;499;142.2026266736412;87.99481358950945
324;499;143.981363155477;89.41783415403995
325;499;47.55228767492167;91.69933373580146
326;499;40.145166516694296;92.66835846678822
327;499;174.50000877038394;93.88283843937695
328;499;140.37334396358943;95.64893913906319
329;499;98.06784077073794;95.20993638535114
330;499;94.95719779521687;94.94739584416365
331;499;122.05665428807589;96.3764432210016
332;499;84.70804454897933;99.67135972484948
333;499;26.48195929872981;98.5822555776136
334;499;155.85528461170253;98.55375152595498
335;499;168.8095122590523;99.18483941379907
336;499;64.58894584699388;100.06323739664366
337;499;113.55507453076926;102.33967868649765
338;499;97.06403049110735;103.60077652240079
339;499;116.16902546950855;103.73060108666532
340;499;172.65209243238337;105.42865215133712
341;446;201.74296701156084;106.53665059605542
342;499;83.61987429215576;106.41259654027706
343;499;139.77972283157226;106.3370780268937
344;499;63.84879539945442;107.13652252034677
345;462;213.66852237590828;108.40728940081694
346;499;117.544359177262;108.57307805417909
347;499;51.752219155633064;108.58268542297739
348;205;-133.93500276319503;106.42281049420046
349;499;102.76538262829472;107.24026615219879
350;116;-6.882629110900936;105.97229646704541
351;499;87.53026572822776;105.35552844219832
352;303;223.90607430239749;106.7383742263529
353;448;277.80318726132583;110.7522837131363
354;419;230.03396248510228;112.26866973320561
355;499;134.4972173129799;112.55369969877745
356;499;140.2145191900547;113.49280203865743
357;499;147.2689227398217;113.71155936891145
358;499;157.4544404533566;114.6730537752754
359;499;123.85604719766978;114.38247571868598
360;499;179.61299919395117;114.70909540724105
361;499;142.3467698213269;117.02697857908053
362;499;43.17120292436262;116.20280122291857
363;499;63.74988516011669;116.25491160621597
364;490;234.71031253345328;117.8644755073511
365;323;257.41952610756994;119.92063075150381
366;499;172.4179499272735;120.7739094748653
367;499;60.231008791644584;120.73680062240601
368;499;72.47393745936819;120.48021346468475
369;499;133.15621390062205;120.7463765879797
370;499;48.08728386134251;120.24624943051626
371;499;148.17504046412375;120.49434977353914
372;499;33.486068881900536;119.64077759551836
373;499;96.63522962710611;119.65331238755716
374;499;51.02651652368784;119.04657544901916
375;499;151.1085906804257;119.56904705650705
376;499;149.30010254448922;121.03666077255004
377;450;256.8136273148529;125.36976759861585
378;474;236.62027695578817;127.20448179077103
379;499;70.56374535551787;126.31811690700515
380;499;145.504033849857;126.37112574961516
381;499;94.01203938652868;126.12069419046402
382;499;76.78500120498997;125.75340917144553
383;267;274.6097446951207;127.97560406592767
384;499;116.16980498412617;127.6889074715486
385;499;140.85678571488015;127.8843029986568
386;335;175.18412080888857;128.91005287798546
387;499;57.618113802345576;128.25556492853278
388;499;38.75259211844467;127.09350584310727
389;499;171.62097660931568;128.00946863288368
390;383;217.19083194437727;129.07623637728116
391;499;107.79773439836748;129.49573559426793
392;339;257.97041469816185;130.88858034582591
393;499;14.514194617721873;130.03382989918546
394;499;119.43556204326708;129.81171517467428
395;499;159.65935054638325;128.99185220524106
396;499;75.93926790690895;128.35853246516365
397;346;241.78182566653427;129.80761442043888
398;499;102.98508589770209;129.44979290542489
399;392;171.22252676499812;130.15323474208793
400;499;86.70932332965363;129.74715360807642
401;457;204.49742758740027;130.49873986082514
402;227;259.01397428770247;131.75118469256464
403;499;40.35461880705358;130.91391399093416
404;395;192.7726800501024;131.64420012086737
405;499;125.80047004354961;131.59934643217096
406;499;76.53408154214776;129.67564413762895
407;478;289.69820720088035;131.08796226277477
408;499;77.9014386155769;130.98605400856064
409;499;55.10238228903128;129.3632241427877
410;302;272.8216059600781;130.3431350420324
411;454;192.4230685023801;130.93196696245712
412;261;265.860149509893;132.50174578893072
413;349;263.175185036597;132.2889683423789
414;258;289.6522641529757;133.74745437696072
