episode;steps;reward;average
280;499;40.88106333957089;11.303338887175356
281;499;35.75265814451962;12.541643831845866
282;499;134.17596838436242;13.904000167102435
283;499;59.13072455410692;13.3120544606015
284;131;-202.78191519862594;10.802762610795705
285;499;83.70189346582063;10.926940525653588
286;499;-13.660942743691328;10.311712938084227
287;499;80.00817716966846;10.896858846235471
288;428;-174.41668516434675;9.278097829533941
289;464;147.82816663934807;10.814451158550073
290;499;138.90788316473544;13.797210378760163
291;499;122.69882806699667;15.185376537141368
292;499;37.45550053906018;15.313499065081926
293;499;153.2829878206891;18.152036904605946
294;499;154.0984534553529;20.993284676487175
295;122;-23.644099596228344;20.126099971306285
296;499;78.10177537264536;20.89458282059767
297;499;38.5967959642722;21.666054320294542
298;499;73.14698109969018;21.71335907160109
299;131;-231.6865127124569;18.97917254028821
300;499;43.44201010594513;18.776117168302413
301;499;62.52022463605182;18.900702455466963
302;111;31.800767484304373;18.898739040064136
303;499;111.5965737995713;19.35510879553988
304;499;91.15157099977414;20.324111236295003
305;499;183.78048230142082;21.738709389740247
306;499;165.24525612161742;22.89556106064481
307;117;-217.8072063775169;19.77446509655601
308;499;142.7762762909676;23.310774567680383
309;499;145.29325900634936;26.577937818078894
310;86;-39.83490501270725;25.767376029948263
311;499;177.33318669330646;27.386845927546464
312;499;81.22919219014346;28.635987296867793
313;499;83.67693438456466;28.513469558070472
314;205;6.171301186210812;31.74557113142485
315;499;-75.69862141292731;30.29901189527103
316;499;195.29085792967405;31.547133407111243
317;499;91.56965472043343;33.88347813331461
318;499;151.58092285997705;34.36796793887982
319;112;-4.224737795160451;34.574775528240174
320;248;236.42813127031798;36.46797720591609
321;499;165.48919333548758;37.3243578711633
322;90;-21.166728295693872;37.38773135464888
323;499;146.77895063168646;37.981559133719585
324;367;294.7607240516652;40.61721839405541
325;499;147.47964733571848;42.436696501949626
326;499;71.55748793518674;45.1733152663348
327;499;98.85070834132188;45.85153584250422
328;385;286.4967330878942;47.84250903315338
329;97;-11.402967996357361;46.9778999645238
330;293;252.61255176804877;48.71973089222005
331;499;141.68742093467424;50.75556478926696
332;356;277.48211152137856;53.10410021294119
333;499;124.24753878711992;53.74807406079939
334;499;144.1628293039275;55.08828057684247
335;127;-2.566630788297445;54.49663035225132
336;280;303.51508099061857;58.7308778261336
337;491;257.096007721924;61.11786417903648
338;499;162.4242703444259;64.91469899626148
339;499;147.56248826570152;66.03056928198238
340;375;232.7402158637415;68.04011071907544
341;106;-8.110071426147897;67.17237048309902
342;474;235.8791612061093;70.52079326060658
343;499;174.13923798376436;71.60616561394045
344;93;-0.4274587906591307;71.42822431401258
345;499;137.35788834872127;72.61906441496848
346;279;265.66976596944403;74.97604156207224
347;499;118.83884680078188;75.20300507438638
348;71;-7.457936162409069;74.86005771413643
349;499;140.53821873919756;76.06591382328587
350;499;116.90576589554041;76.48686792853015
351;499;107.18557464035689;76.82322700280163
352;499;137.87342053558294;78.02182713681779
353;499;148.06740927855483;79.35675345358496
354;499;72.54982842410361;79.16693037723503
355;499;136.2385584278971;80.60190412700801
356;499;129.32174968988065;81.4978336860585
357;499;127.63736877854684;81.92240652620211
358;499;69.21693540230643;81.64332880768853
359;499;41.21227814777939;81.9104453195313
360;365;213.34157868400763;84.27379735604286
361;499;89.98442328013498;85.78157518097454
362;499;23.434380857703193;84.69308847362424
363;425;218.06238205325957;86.86191136598295
364;499;50.51504082282077;87.28444984748953
365;499;88.04059677985256;87.31121682178953
366;499;-10.335305681089384;86.04603975608805
367;499;60.265988216375476;86.77061050958642
368;499;131.45612808374236;88.53310913371028
369;499;122.2091596167836;89.19943769137245
370;84;-33.44463080781969;88.83115921287268
371;499;135.27474427670683;90.487796342475
372;499;64.17690551772114;90.72861979187954
373;499;77.7311582674817;91.42179845935165
374;499;39.11416349266683;91.51474428593161
375;499;87.5195161552459;92.10538267371463
376;108;-52.02050750025849;91.87418558767962
377;499;75.1992667151365;92.42017898691702
378;487;239.1644593483822;94.12419852628085
379;499;63.474013947254264;94.4050647030344
380;499;127.64499544666674;95.27270402410535
381;222;-203.80820042046759;92.87709543845546
382;499;104.72096604114739;92.58254541502332
383;499;117.40597178205522;93.16529788730283
384;499;122.63867711287699;96.41950381041785
385;499;180.01034812111945;97.38258835697083
386;499;43.534076558632606;97.95453854999407
387;499;160.85872481631338;98.76304402646052
388;128;-9.121582970789404;100.41599504839608
389;499;129.46621301515952;100.23237551215423
390;499;191.08592248119098;100.75415590531875
391;430;230.00529468567944;101.82722057150559
392;441;228.9755829360476;103.74242139547545
393;254;240.2437423510963;104.61202894077955
394;477;225.98883749578206;105.33093278118383
395;499;147.8490520955421;107.04586429810153
396;499;-0.8254527099502464;106.25659201727558
397;312;-273.06392395551336;103.13998481807774
398;499;83.55769376188252;103.24409194469965
399;469;223.94068152408397;107.80036388706505
400;239;259.636529060453;109.96230907661014
401;499;102.21477856735879;110.35925461592322
402;499;12.461962351907983;110.16586656459926
403;499;90.27687760911233;109.95266960269466
404;499;142.65512501390492;110.46770514283598
405;499;22.40363945515246;108.85393671437329
406;269;-366.6852126244223;103.53463202691287
407;499;184.6292378476463;107.5589964691645
408;299;271.1862703740933;108.84309640999578
409;406;225.45620801011344;109.6447259000334
410;499;78.27446418589386;110.8258195920194
411;420;242.2479798859178;111.47496752394552
412;499;119.68294346391747;111.85950503668326
413;499;124.53610944004521;112.26809678723806
414;499;67.867278407993;112.8850565594559
415;499;17.797363263163586;113.8200164062168
416;134;-4.262053900008837;111.82448728791998
417;363;264.4726725088693;113.55351746580435
418;137;2.9188235059644114;112.06689647226422
419;499;42.42651383261077;112.53340898854192
420;499;135.3694303566967;111.5228219794057
421;499;52.03819041141036;110.38831195016495
422;499;105.89620322217887;111.65894126534367
423;499;61.27749677443631;110.80392672677118
424;499;149.05126996642846;109.3468321859188
425;499;-22.462179693114184;107.6474139156305
426;499;71.13615721987267;107.64320060847734
427;260;237.49184066943158;109.02961193175844
428;96;-30.32908996406779;105.86135370123883
429;305;216.34369404442174;108.13882032164662
430;499;157.97323257138626;107.19242712968
431;499;58.99035847206669;106.36545650505391
432;499;132.38813915547115;104.91451678139484
433;499;78.53294395305072;104.45737083305414
434;499;-69.88686608131019;102.31687387920175
435;499;49.771966523517705;102.84025985231992
436;499;80.57935044015595;100.61090254681528
437;499;85.5552025109292;98.89549449470535
438;281;293.9543938001507;100.21079572926257
439;258;277.4574412613465;101.50974525921902
440;434;228.42946399511925;101.46663774053282
441;499;161.461938960542;103.16235784439972
442;499;162.78685640108958;102.43143479634948
